0,1,2,3,4
0.0,0.356,0.439,0.393,0.08300000000000002
1.0,0.475,0.59,0.526,0.11499999999999999
2.0,0.301,0.372,0.333,0.07100000000000001
3.0,0.272,0.325,0.296,0.05299999999999999
4.0,0.208,0.25,0.227,0.04200000000000001
5.0,0.485,0.594,0.534,0.10899999999999999
6.0,0.417,0.52,0.463,0.10300000000000004
7.0,0.337,0.41,0.37,0.07299999999999995
8.0,0.471,0.583,0.521,0.11199999999999999
9.0,0.38,0.462,0.417,0.08200000000000002
10.0,0.442,0.543,0.487,0.10100000000000003
11.0,0.3,0.386,0.338,0.08600000000000002
